Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Volume_Percent,Solvent 2_Volume_Percent,Solvent 3_Volume_Percent,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity
1 M LICLO4-PC + 5% FEC,PC,FEC,,1.0,0.05,,LiClO4,,,1.0,,
1 M LIPF6 EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiPF6,,,1.0,,
1 M LIBF4 EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiBF4,,,1.0,,
1M LITFPFB PC,PC,,,1.0,,,LiTFPFB,,,1.0,,
1 M LIPF6 EC-EMC (3:7 WT) 2% WT VC,EC,EMC,,0.24620655898188937,0.7537934410181106,0.02,LiPF6,,,1.0,,
1 M LITFSI EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiTFSI,,,1.0,,
1M LIPF6 EC-DMC (3:7 V/V),EC,DMC,,0.3,0.7,,LiPF6,,,1.0,,
1M LIPF6 EC-DEC (1:2 W/W),EC,DEC,,0.2667578659370725,0.7332421340629275,,LiPF6,,,1.0,,
1.5 M LIASF6-PC,PC,,,1.0,,,LiAsF6,,,1.5,,
1 M LIBETI EC-DMC (1:1 V) 2% VC,EC,DMC,VC,0.5,0.5,0.02,LiBETI,,,1.0,,
1 M LIPF6 EC-DMC (1:2 VOL),EC,DMC,,0.333,0.667,,LiPF6,,,1.0,,
1 M LIPF6 EC-DEC (3:7 WT),EC,DEC,,0.2404438964241677,0.7595561035758323,,LiPF6,,,1.0,,
1 M LIPF6-EC/DEC (1:1 VOL.),EC,DEC,,0.5,0.5,,LiPF6,,,1.0,,
0.6M LITFSI 0.4M LIBOB EC-EMC (5:5 WT),EC,EMC,,0.43250214961306965,0.5674978503869303,,LiTFSI,LiBOB,,0.6,0.4,
1M LIPF6 EC-DEC (1:1 W/W),EC,DEC,,0.42483660130718953,0.5751633986928105,,LiPF6,,,1.0,,
1 M LIPF6 EC-DMC (1:2 VOL) 2% TTFEB,EC,DMC,,0.333,0.667,0.02,LiPF6,,,1.0,,
0.6M LITFSI 0.4M LIBOB EC-EMC (7:3 WT),EC,EMC,,0.6400654426467914,0.35993455735320845,,LiTFSI,LiBOB,,0.6,0.4,
0.6M LITFSI 0.4M LIBOB EC-EMC (9:1 WT),EC,EMC,,0.8727588201272412,0.12724117987275882,,LiTFSI,LiBOB,,0.6,0.4,
1 M LIPF6 FEC-DMC (1:1 V),FEC,DMC,,0.5,0.5,,LiPF6,,,1.0,,
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL),FEC,EC,DEC,0.1,0.45,0.45,LiPF6,,,1.0,,
1 M LITFSI EC-DMC (1:1 V) 5WT% FEC,EC,DMC,,0.5,0.5,0.05,LiTFSI,,,1.0,,
3.57 M LITFSI DME,DME,,,1.0,,,LiTFSI,,,3.57,0.0,
1M LIFSI EC/DEC (V 1:1),EC,DEC,,0.5,0.5,,LiFSI,,,1.0,,
0.1M LIDFP 0.4M LITFSI EC-DMC (3:7 V/V),EC,DMC,,0.3,0.7,,LiDFP,LiTFSI,,0.1,0.4,
0.84 M LITFSI 2.7M LIDFP DME,DME,,,1.0,,,LiTFSI,LiDFP,,0.84,2.7,
1 M LIFSI IN TETRAGLYME,Tetraglyme,,,1.0,,,LiFSI,,,1.0,,
1 M LIPF6 FEC-DMC (1:1 V) 0.25WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.0025,LiPF6,,,1.0,,
0.11 M LITFSI 3.9 M LIDFP DME,DME,,,1.0,,,LiTFSI,LiDFP,,0.11,3.9,
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL) 0.05 M RBNO3 0.05M 18-CROWN-6,FEC,EC,DEC,0.1,0.45,0.45,LiPF6,RbNO3,,1.0,0.05,
0.1M LIDFP 0.4M LIFSI EC-DMC (3:7 V/V),EC,DMC,,0.3,0.7,,LiDFP,LiFSI,,0.1,0.4,
2M LITFSI 2M LIDFOB DME,DME,,,1.0,,,LiTFSI,LiDFOB,,2.0,2.0,
1 M LIPF6 FEC-DMC (1:1 V) 2WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.02,LiPF6,,,1.0,,
2.2 M LITFSI 0.8 M LIDFP DME,DME,,,1.0,,,LiTFSI,LiDFP,,2.2,0.8,
1 M LIPF6-EC/DEC (1:1 VOL.) + 5 VOL% FEC,EC,DEC,FEC,0.5,0.5,0.05,LiPF6,,,1.0,,
0.02M LI2S5 0.15M LINO3 1M LITFSI DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiNO3,Li2S5,,1.0,0.15,0.02
1 M LIFSI IN DEG-FTRIEG,DEG-FTriEG,,,1.0,,,LiFSI,,,1.0,,
1 M LIDFOB EC-DEC (3:7 WT),EC,DEC,,0.2404438964241677,0.7595561035758323,,LiDFOB,,,1.0,,
1 M LIPF6 FEC-EMC-DMC (34.6:57.2:8.2 WT),FEC,EMC,DMC,0.27862882974582603,0.6259312142878466,0.09543995596632732,LiPF6,,,1.0,,
1 M LIPF6 IN EC/DEC + 0.15M LIDFP,EC,DEC,,0.42483660130718953,0.5751633986928105,,LiPF6,LiDFP,,1.0,0.15,
1 M LIPF6 FEC-DMC (1:1 V) 1.75WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.0175,LiPF6,,,1.0,,
LIFSI-1.4DME-3TFEB,,,,,,,,,,,,
1 M LIPF6 FEC-DMC (1:1 V) 1.5WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.015,LiPF6,,,1.0,,
3M LITFSI DME,DME,,,1.0,,,LiTFSI,,,3.0,,
1 M LIPF6 FEC-DMC (1:1 V) 0.5WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.005,LiPF6,,,1.0,,
1 M LIFSI THF,THF,,,1.0,,,LiFSI,,,1.0,,
6 M LIPF6 EC-DEC (1:1 VOL),EC,DEC,,0.5,0.5,,LiPF6,,,6.0,,
1 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,1.0,,
0.5 M LIFSI+0.5 M LIPO2F2/DME,DME,,,1.0,,,LiFSI,LiPO2F2,,0.5,0.5,
3.25M LITFSI SL,SL,,,1.0,,,LiTFSI,,,3.25,,
5M LITFSI 1-4 (EA-DCM VOL),EA,DCM,,0.2,0.8,,LiTFSI,,,5.0,,
1 M LIPF6 FEC-DMC (1:1 V) 1.25WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.0125,LiPF6,,,1.0,,
2 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,2.0,,
LIFSI-1.2DME-3BTFEC,DME,BTFEC,,0.2857,0.7143,,,,,,,
1 M LIPF6 FEC-DMC (1:1 V) 0.75WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.0075,LiPF6,,,1.0,,
1M LIPF6 FEC-DEC (1:1 W/W),FEC,DEC,,0.4013997529847674,0.5986002470152326,,LiPF6,,,1.0,,
0.1 M LI2S5 + 5% LINO3 IN 1 M LITFSI IN DOL/DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiTFSI,Li2S5,LiNO3,1.0,0.1,0.7772999999999999
3 M LIFNFSI IN DOL/DME,DOL,DME,,0.5,0.5,,LiFNFSI,,,3.0,,
0.5 M LITFSI 0.5 M LINO3 DOL-DME (1:1 V),DOL,DME,,0.5,0.5,,LiTFSI,LiNO3,,0.5,0.5,
1 M LICLO4 EC-ES (1:1 VOL),EC,ES,,0.5,0.5,,LiClO4,,,1.0,,
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL) 0.1 M RBNO3 0.1M 18-CROWN-6,FEC,EC,DEC,0.1,0.45,0.45,LiPF6,RbNO3,,1.0,0.1,
3 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,3.0,,
1 M LIPF6 FEC-DMC (1:1 V) 0.1WT% 12-CROWN-4,FEC,DMC,12-Crown-4,0.5,0.5,0.01,LiPF6,,,1.0,,
1M LIFSI DME,DME,,,1.0,,,LiFSI,,,1.0,,
3.2M LIFSI TEP,TEP,,,1.0,,,LiFSI,,,3.2,,
1 M LITFSI IN DOL/DME WITH 5WT% TMS-FNFSI,DOL,DME,,0.5,0.5,,LiTFSI,,,1.0,0.10970577457511774,
LIFSI SL (1:3 MOLAR),,,,,,,,,,,,
4 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,4.0,,
1M LIFSI FEC-DEC (1:2 BY VOLUME),FEC,DEC,,0.3333,0.6667,,FEC,,,1.0,,
1 M LIFSI/EC-ETFEC (3:7 VOL),EC,ETFEC,,0.3,0.7,,LiFSI,,,1.0,,
5 M LIFSI PC,PC,,,1.0,,,LiFSI,,,5.0,,
"1 M LIFSI 1,4-DIOXOLANE","1,4-Dioxolane",,,1.0,,,LiFSI,,,1.0,,
1M LIPF6 FEC-TFEC (1:1 W/W),FEC,TFEC,,0.50944669365722,0.49055330634278005,,LiPF6,,,1.0,,
1 M LIPF6 MTFP-FEC (9:1 VOL),MTFP,FEC,,0.9,0.1,,LiPF6,,,1.0,,
5 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,5.0,,
6 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,6.0,,
1M LIFSI DMB,DMB,,,1.0,,,LiFSI,,,1.0,,
"1 M LIPF6 EC-DMC (1:1 V), 0.5 M LINO3 TEGDME, 70%",EC,DMC,DME,0.15,0.15,0.7,LiPF6,LiNO3,,0.3,0.35,
7 M LIFSI FEC,FEC,,,1.0,,,LiFSI,,,7.0,,
1M LITFSI DME-DOL (1:1) 3% LINO3,DME,DOL,,0.5,0.5,,DME,,,1.0,0.4663763909046928,
1 M LIFSI FSA,FSA,,,1.0,,,LiFSI,,,1.0,,
4.6 M LIFSI 2.3 M LITFSI DME,DME,,,1.0,,,LiFSI,LiTFSI,,4.6,2.3,
"1 M LIPF6 EC-DMC (1:1 V), 0.5 M LINO3 TEGDME, 50%",EC,DMC,DME,0.25,0.25,0.5,LiPF6,LiNO3,,0.5,0.25,
1 M LIPF6 FEC-EMC-DMC (34.6:57.2:8.2 WT) 1WT% TMSB,FEC,EMC,DMC,0.38637317622829487,0.531554576832353,0.08207224693935221,LiPF6,TMSB,,1.0,0.01,
LIFSI SL (1:2.5 MOLAR),,,,,,,LiFSI,SL,,1.0,2.5,
1M LIFSI FEC-FEMC-D2 (234:280:793 BY MOL),FEC,FEMC,D2,0.1,0.2,0.7,LiFSI,,,1.0,,
1 LIFSI - 3 TMS,,,,,,,,,,,,
1.2M LIFSI DMC-BTFE (1:2 MOL),DMC,BTFE,,0.24227544535700013,0.7577245546429999,,LiFSI,,,1.2,,
4.6 M LIFSI DME,DME,,,1.0,,,LiFSI,,,4.6,,
1 M LIFSI METHF,MTHF,,,1.0,,,LiFSI,,,1.0,,
LIFSI DMC (1:1.5 MOL),,,,,,,,,,,,
0.4M LITFSI 0.6M LINO3 DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiTFSI,LiNO3,,0.4,0.6,
1 M LIFSI DMETHF,DMeTHF,,,1.0,,,LiFSI,,,1.0,,
1.2M LIFSI 0.15M LIDFOB EC-EMC-BTFE (0.175:0.825:2 MOL),EC,EMC,BTFE,0.032756874309242234,0.23953731478529433,0.7277058109054634,LiFSI,LiDFOB,,1.2,0.15,
3.25M LITFSI 0.1M LINO3 SL,SL,,,1.0,,,LiTFSI,LiNO3,,3.25,0.1,
3 M LITFSI 3WT% LINO3 DOL-DME (1:1 V),DOL,DME,,0.5,0.5,,LiTFSI,LiNO3,,3.0,0.4663763909046928,
1 M LITFSI DOL-DME (1:1 VOL) 2WT% LINO3,DOL,DME,,0.5,0.5,,LiTFSI,,,1.0,0.31091759393646184,
LIFSI DMC-TTE (1:1.5:1.5 MOL),,,,,,,,,,,,
2M LIFSI 1M LITFSI DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiFSI,LiTFSI,,2.0,1.0,
LIFSI-AN-VC (0.52:1:0.09 MOLAR),,,,,,,,,,,,
1M LIFSI 2M LITFSI DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiFSI,LiTFSI,,1.0,2.0,
6 M LIFSI DMC,DMC,,,1.0,,,,,,6.0,,
3 M LIFSI DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiFSI,,,3.0,,
1 LIFSI - 3 TMS- 3 TTE,,,,,,,,,,,,
1M LIFSI+0.3 M LINO3-FEC/GBL (1:2 V/V),FEC,GBL,,0.333,0.667,,LiFSI,LiNO3,,1.0,0.3,
8 M LIFSI PC,PC,,,1.0,,,LiFSI,,,8.0,,
1 M LIFSI DOL-DME (1:1 VOL),DOL,DME,,0.5,0.5,,LiFSI,,,1.0,,
1 M LIFSI DEE,DEE,,,1.0,,,LiFSI,,,1.0,,
0.47M LIFSI DOL-BTFE (1:4 W/W),DOL,BTFE,,0.24875974486180014,0.7512402551381998,,LiFSI,,,0.47,,
1M LIFSI FDMB,FDMB,,,1.0,,,LiFSI,,,1.0,,
2.2M LIFSI TEP (= 1:2 MR),TEP,,,1.0,,,LiFSI,,,2.2,,
1.3 M LITFSI 0.04 M LINO3 SL-D2 (1:2 WT),SL,D2,,0.33571643588199884,0.6642835641180012,,LiTFSI,LiNO3,,1.3,0.04,
1.2 M LIFSI DEE,DEE,,,1.0,,,LiFSI,,,1.2,,
1 M LIFSI DEE,DEE,,,1.0,,,LiFSI,,,1.0,,
4M LIFSI DME,DME,,,1.0,,,LiFSI,,,4.0,,
5 M LIFSI/EC-ETFEC (3:7 VOL),EC,ETFEC,,0.3,0.7,,LiFSI,,,5.0,,
2 M LIFSI 1 M LITFSI 3WT% LINO3 DOL-DME (1:1 V),DOL,DME,,0.5,0.5,,LiFSI,LiTFSI,,2.0,1.0,
LIFSI-1.4TEP-3TTE,,,,,,,,,,,,
2.54M LIFSI DME-BTFE (1:4 W/W),DME,BTFE,,0.28794093519278097,0.712059064807219,,LiFSI,,,2.54,,
1M LIFSI DMC-BTFE (1:2 BY MOL),DMC,BTFE,,0.24504666620399992,0.7549533337960002,,LiFSI,,,1.0,,
1.2M LIFSI TEP-BTFE (1:3 MOL),TEP,BTFE,,0.3039902023183154,0.6960097976816846,,LiFSI,,,1.2,,
5.5M LIFSI DMC,DMC,,,1.0,,,LiFSI,,,5.5,,
2M LIPF6 THF-MTHF (1:1 VOL),THF,MTHF,,0.5,0.5,,LiPF6,,,2.0,,
1 M LIPF6 FEC-FEMC-D2 (2:6:2 WT),FEC,FEMC,D2,0.18750495897316619,0.6291512546468851,0.1833437863799486,LiPF6,,,1.0,,
LIFSI-TEP 1:1 MOLAR,,,,,,,,,,,,
10 M LIFSI DMC,DMC,,,1.0,,,,,,10.0,,
4.5 M LIFSI/DME (1 : 1),DME,,,1.0,,,LiFSI,,,4.5,,
LIFSI DME-TTE (1:1.2:3),,,,,,,,,,,,
1M LITFSI IN FDMA/FEC (1:1 BY VOL),FDMA,FEC,,0.5,0.5,,LiTFSI,,,1.0,,
LIFSI-DME-FB (1:1.2:3 MOLAR),,,,,,,,,,,,
LIFSI-TEP 1:1.5 MOLAR,,,,,,,,,,,,
10 M LIFSI EC-DMC,EC,DMC,,0.5,0.5,,LiFSI,,,10.0,,
1.33 M LIFSI DME-TTE (1:2 VOL),DME,TTE,,0.333,0.667,,LiFSI,,,1.33,,
LIFSI-2.2DMC-3TTE,,,,,,,,,,,,
1.2 M LIFSI F3DEE,F3DEE,,,1.0,,,LiFSI,,,1.2,,
1.2 M LIFSI F6DEE,F6DEE,,,1.0,,,LiFSI,,,1.2,,
4 M LIFSI DEE,DEE,,,1.0,,,LiFSI,,,4.0,,
1.28M LIFSI FEC-FEMC-D2,FEC,FEMC,D2,0.1,0.2,0.7,LiFSI,,,1.28,,
1.2M LITFSI 1M AN IN FM,FM,,,1.0,,,LiTFSI,AN,,1.2,1.0,
0.5M LITFSI 0.5M THF CH3F,MF,,,1.0,,,LiTFSI,THF,,0.5,0.5,
1 M LIFSI DME-FDMH (1:6 MOLAR),DME,FDMH,,0.08530150648158688,0.9146984935184131,,LiFSI,,,1.0,,
LIFSI-1.2DME-3BTFE,,,,,,,,,,,,
1.8 M LIFSI/DME (1 : 1) WITH HFME AT 50% CONCENTRATION,DME,HFME,,0.5,0.5,,,,,1.8,,
1.8M LIFSI DEE-BTFE (1:4 W/W),DEE,BTFE,,0.32976324689966174,0.6702367531003381,,LiFSI,,,1.8,,
1.2M LIFSI DMC-BTFE (1:2 MOL),DMC,BTFE,,0.24227544535700013,0.7577245546429999,,LiFSI,,,1.2,,
1M LIFSI DME-TFEO (1.2:3 MOL),DME,TFEO,,0.1634492544449742,0.8365507455550258,,LiFSI,,,1.0,,
1.7 M LIFSI METHF-TTE (1:1 VOL),MTHF,TTE,,0.5,0.5,,LiFSI,,,1.7,,
LIFSI-1DME-3TTE,,,,,,,,,,,,
LIFSI-1.2DME-3TFEO,,,,,,,,,,,,
1.2 M LIFSI F4DEE,F4DEE,,,1.0,,,LiFSI,,,1.2,,
1.2 M LIFSI F5DEE,F5DEE,,,1.0,,,LiFSI,,,1.2,,
